CID,RA,DEC,zHD,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,d_L_Mpc,vel_kms
2011fe,210.774,54.2737,0.00122,0.00122,28.9987,1.51645,6.30579720954125,365.52313495941956
2011fe,210.774,54.2737,0.00122,0.00122,29.0559,1.51747,6.474108895090392,365.52313495941956
2012cg,186.803,9.4203,0.00256,0.00256,30.7233,0.782372,13.952756014903194,766.4851647851331
2012cg,186.803,9.4203,0.00256,0.00256,30.7449,0.799068,14.09223899768653,766.4851647851331
1994DRichmond,188.51,7.7016,0.00299,0.00299,30.7757,0.881212,14.293546537523811,895.0380007427898
1981B,188.623,2.1998,0.00317,0.0035,30.7946,0.614535,14.418497285255388,948.8343576298776
2013aa,218.141,-44.2244,0.00331,0.00478,30.4604,0.594683,12.361751243458519,990.6692534011019
2013aa,218.141,-44.2244,0.00331,0.00478,30.5528,0.580251,12.89911753483647,990.6692534011019
2017cbv,218.143,-44.1341,0.00331,0.00478,30.4013,0.578445,12.029844123140942,990.6692534011019
2017cbv,218.143,-44.1341,0.00331,0.00478,30.5107,0.578546,12.651441160205817,990.6692534011019
2001el,56.1275,-44.6398,0.00333,0.00357,31.5011,0.591006,19.962733084939835,996.645187430864
2011by,178.94,55.3256,0.00349,0.00369,31.7933,0.55272,22.838101564644848,1044.4483428105477
1998aq,179.108,55.1287,0.00349,0.00369,31.4967,0.545492,19.922324054045134,1044.4483428105477
1990N,190.736,13.2565,0.00359,0.00462,31.6969,0.550993,21.84640597744984,1074.3214177668954
2021pit,56.1257,-44.6325,0.00384,0.00366,30.9999,0.566505,15.848202071128942,1148.990989776098
2005df,64.4077,-62.7693,0.00407,0.00435,31.3933,0.476404,18.995905482234768,1217.670448231485
2005df_ANU,64.4077,-62.7693,0.00407,0.00435,31.3779,0.479276,18.861663821790913,1217.670448231485
2013dy,334.573,40.5693,0.00432,0.00293,31.499,0.514259,19.943436742573407,1292.3040468803902
2013dy,334.573,40.5693,0.00432,0.00293,31.5611,0.530838,20.52201496646666,1292.3040468803902
2012ht,163.345,16.7764,0.00465,0.00465,31.9309,0.442017,24.33212282211501,1390.791708618085
2012ht,163.345,16.7764,0.00465,0.00465,32.033,0.420403,25.5035126027534,1390.791708618085
1980N,50.7513,-37.2139,0.00482,0.0046,31.2476,0.558603,17.763150687368515,1441.515036427868
2012fr,53.4,-36.1271,0.00483,0.0046,31.1331,0.446882,16.850779667031688,1444.498491798549
2007on,54.7125,-35.5753,0.00483,0.0046,31.6525,0.564724,21.404249267716327,1444.498491798549
2012fr,53.4,-36.1271,0.00483,0.0046,31.2234,0.410577,17.566288050559017,1444.498491798549
1992A,54.1142,-34.9587,0.00483,0.0046,31.34,0.562589,18.535316234148144,1444.498491798549
2007on,54.7125,-35.5753,0.00483,0.0046,31.7635,0.574442,22.52682576575428,1444.498491798549
2015F,114.066,-69.5064,0.00488,0.00515,31.4473,0.448264,19.47421677517165,1459.415318995612
2015F,114.066,-69.5064,0.00488,0.00515,31.539,0.407028,20.314212914187365,1459.415318995612
2011B,133.952,78.2174,0.00538,0.00458,31.6512,0.514401,21.391438975305874,1608.542372670474
2018aoz,177.758,-28.7441,0.00548,0.00701,31.7282,0.501431,22.16358450716459,1638.3587903821822
2016coj,182.028,65.1772,0.0057,0.00489,31.9117,0.469628,24.11792831581483,1703.9443576254482
SN2016coj,182.028,65.1772,0.0057,0.00489,31.8985,0.483668,23.971764361383006,1703.9443576254482
